#solver	iter	latency-throughput
		6. : 0.607327124733
		7. : 0.627807002297
		8. : 0.636370153791
		9. : 0.637068415181
		10. : 0.637068415181
		11. : 0.637068415181
spf	0	
		1. : 0.258559364357
		2. : 0.577465987327
		3. : 0.738375968732
		4. : 0.854983008406
		5. : 0.898465782031
spf	1	
		1. : 0.254886663181
		2. : 0.567166350082
		3. : 0.730977817038
		4. : 0.865731673538
		5. : 0.914033870634
spf	2	
		1. : 0.186078496815
		2. : 0.380161462931
		3. : 0.498557343452
		4. : 0.585974093673
		5. : 0.635051381085
		6. : 0.653529151163
spf	3	
		1. : 0.186393597653
		2. : 0.3767504841
		3. : 0.490867209174
		4. : 0.580501957169
		5. : 0.631056943262
		6. : 0.650394059945
spf	4	
		1. : 0.186747809253
		2. : 0.381727965409
		3. : 0.498667923134
		4. : 0.590706565636
		5. : 0.641776965778
		6. : 0.661133334094
spf	5	
		1. : 0.192156687778
		2. : 0.389404284069
		3. : 0.510474573274
		4. : 0.598648039467
		5. : 0.649000413601
		6. : 0.668247786843
spf	6	
		1. : 0.193463227847
		2. : 0.395883428203
		3. : 0.519654439094
		4. : 0.606792403289
		5. : 0.654174203105
		6. : 0.672994101182
spf	7	
		1. : 0.19319974839
		2. : 0.393152836941
		3. : 0.516866903599
		4. : 0.604976392763
		5. : 0.653767567347
		6. : 0.672891157815
spf	8	
		1. : 0.195411214257
		2. : 0.397294460494
		3. : 0.519561255842
		4. : 0.606057583464
		5. : 0.65421606809
		6. : 0.673208212341
spf	9	
		1. : 0.192725466748
		2. : 0.389507582402
		3. : 0.508661475175
		4. : 0.599251756454
		5. : 0.651538062153
		6. : 0.671567612698
vlb	0	
		1. : 0.158280015271
		2. : 0.302990080029
		3. : 0.457283158748
		4. : 0.609083241103
		5. : 0.721682211237
		6. : 0.786362452441
		7. : 0.806170789309
		8. : 0.815700080865
		9. : 0.824043731673
vlb	1	
		1. : 0.169293154508
		2. : 0.319155196785
		3. : 0.477116986373
		4. : 0.636773486479
		5. : 0.752671842454
		6. : 0.819285488399
		7. : 0.84093144199
		8. : 0.852808625814
		9. : 0.859675039942
		10. : 0.859786414395
vlb	2	
		1. : 0.133751561258
		2. : 0.239639880598
		3. : 0.345298489202
		4. : 0.449641042537
		5. : 0.531229596958
		6. : 0.5856617303
		7. : 0.608885845279
		8. : 0.622205192035
		9. : 0.627218168033
		10. : 0.629135395334
vlb	3	
		1. : 0.130613189463
		2. : 0.232229450718
		3. : 0.333918373695
		4. : 0.434700007639
		5. : 0.519627487683
		6. : 0.575498817433
		7. : 0.597685787643
		8. : 0.610704509495
		9. : 0.616368756912
		10. : 0.618380236748
vlb	4	
		1. : 0.130884400253
		2. : 0.234898563079
		3. : 0.340539416346
		4. : 0.446189094688
		5. : 0.532773189562
		6. : 0.591191561943
		7. : 0.611374129814
		8. : 0.623286939682
		9. : 0.628244449596
		10. : 0.629204617664
vlb	5	
		1. : 0.136720373597
		2. : 0.242054127467
		3. : 0.351039464898
		4. : 0.456516047081
		5. : 0.542255059043
		6. : 0.601790818818
		7. : 0.624519870635
		8. : 0.638952390202
		9. : 0.643484823805
		10. : 0.643617906342
vlb	6	
		1. : 0.137495441423
		2. : 0.244120872292
		3. : 0.35878709403
		4. : 0.467364405617
		5. : 0.54781293459
		6. : 0.604462261684
		7. : 0.62633308174
		8. : 0.638477895374
		9. : 0.642656388158
		10. : 0.643160354242
		11. : 0.643218329382
vlb	7	
		1. : 0.136920477013
		2. : 0.243632636117
		3. : 0.356883608894
		4. : 0.462680423185
		5. : 0.546551519826
		6. : 0.604967120671
		7. : 0.627645764423
		8. : 0.639079045207
		9. : 0.644325342105
		10. : 0.644476669855
vlb	8	
		1. : 0.139473713676
		2. : 0.248112301245
		3. : 0.359824607985
		4. : 0.46623210995
		5. : 0.551898463486
		6. : 0.607993973434
		7. : 0.629554723383
		8. : 0.641875095058
		9. : 0.646648884132
		10. : 0.648752835134
		11. : 0.648770299104
vlb	9	
		1. : 0.13819995217
		2. : 0.242896268375
		3. : 0.350167769537
		4. : 0.459281706749
		5. : 0.546381124282
		6. : 0.604252875007
		7. : 0.625795145716
		8. : 0.637315716702
		9. : 0.641809247075
		10. : 0.643483605166
		11. : 0.643502535171

