# solver	iter	mean-congestion	stddev
mwmcf	37	0.001865	0.000000
mwmcf	38	0.001902	0.000000
mwmcf	39	0.001898	0.000000
mwmcf	40	0.002059	0.000000
mwmcf	41	0.002003	0.000000
mwmcf	42	0.001996	0.000000
mwmcf	43	0.002049	0.000000
mwmcf	44	0.002190	0.000000
mwmcf	45	0.002184	0.000000
mwmcf	46	0.002344	0.000000
mwmcf	47	0.002195	0.000000
mwmcf	48	0.002058	0.000000
mwmcf	49	0.002122	0.000000
mwmcf	50	0.002236	0.000000
mwmcf	51	0.002329	0.000000
mwmcf	52	0.002560	0.000000
mwmcf	53	0.002423	0.000000
mwmcf	54	0.002211	0.000000
mwmcf	55	0.002338	0.000000
mwmcf	56	0.002555	0.000000
mwmcf	57	0.002587	0.000000
mwmcf	58	0.002621	0.000000
mwmcf	59	0.002620	0.000000
mwmcf	60	0.002530	0.000000
mwmcf	61	0.002524	0.000000
mwmcf	62	0.002575	0.000000
mwmcf	63	0.002550	0.000000
mwmcf	64	0.002626	0.000000
mwmcf	65	0.002555	0.000000
mwmcf	66	0.002546	0.000000
mwmcf	67	0.002642	0.000000
mwmcf	68	0.002585	0.000000
mwmcf	69	0.002489	0.000000
mwmcf	70	0.002626	0.000000
mwmcf	71	0.002714	0.000000
mwmcf	72	0.002610	0.000000
mwmcf	73	0.002699	0.000000
mwmcf	74	0.002677	0.000000
mwmcf	75	0.002544	0.000000
mwmcf	76	0.002671	0.000000
mwmcf	77	0.002724	0.000000
mwmcf	78	0.002360	0.000000
mwmcf	79	0.002463	0.000000
mwmcf	80	0.002586	0.000000
mwmcf	81	0.002665	0.000000
mwmcf	82	0.002743	0.000000
mwmcf	83	0.002625	0.000000
mwmcf	84	0.002436	0.000000
mwmcf	85	0.002596	0.000000
mwmcf	86	0.002728	0.000000
mwmcf	87	0.002652	0.000000
mwmcf	88	0.002837	0.000000
mwmcf	89	0.002736	0.000000
mwmcf	90	0.002695	0.000000
mwmcf	91	0.002792	0.000000
mwmcf	92	0.002702	0.000000
mwmcf	93	0.002608	0.000000
mwmcf	94	0.002696	0.000000
mwmcf	95	0.002706	0.000000
mwmcf	96	0.002591	0.000000
mwmcf	97	0.002735	0.000000
mwmcf	98	0.002739	0.000000
mwmcf	99	0.002865	0.000000
raeke	0	0.002992	0.000000
raeke	1	0.003011	0.000000
raeke	2	0.003251	0.000000
raeke	3	0.003031	0.000000
raeke	4	0.003359	0.000000
raeke	5	0.003271	0.000000
raeke	6	0.002827	0.000000
raeke	7	0.002789	0.000000
raeke	8	0.003107	0.000000
raeke	9	0.003130	0.000000
raeke	10	0.003309	0.000000
raeke	11	0.003037	0.000000
raeke	12	0.002864	0.000000
raeke	13	0.002944	0.000000
raeke	14	0.002976	0.000000
raeke	15	0.003021	0.000000
raeke	16	0.003186	0.000000
raeke	17	0.002962	0.000000
raeke	18	0.002862	0.000000
raeke	19	0.002958	0.000000
raeke	20	0.003192	0.000000
raeke	21	0.003117	0.000000
raeke	22	0.003246	0.000000
raeke	23	0.003119	0.000000
raeke	24	0.003091	0.000000
raeke	25	0.003174	0.000000
raeke	26	0.003015	0.000000
raeke	27	0.002943	0.000000
raeke	28	0.003236	0.000000
raeke	29	0.003074	0.000000
raeke	30	0.002903	0.000000
raeke	31	0.002963	0.000000
raeke	32	0.003214	0.000000
raeke	33	0.002924	0.000000
raeke	34	0.003286	0.000000
raeke	35	0.003301	0.000000
raeke	36	0.003205	0.000000
raeke	37	0.003250	0.000000
raeke	38	0.003313	0.000000
raeke	39	0.003308	0.000000
raeke	40	0.003590	0.000000
raeke	41	0.003492	0.000000
raeke	42	0.003477	0.000000
raeke	43	0.003570	0.000000
raeke	44	0.003815	0.000000
raeke	45	0.003802	0.000000
raeke	46	0.004085	0.000000
raeke	47	0.003820	0.000000
raeke	48	0.003585	0.000000
raeke	49	0.003700	0.000000
raeke	50	0.003890	0.000000
raeke	51	0.004056	0.000000
raeke	52	0.004458	0.000000
raeke	53	0.004220	0.000000
raeke	54	0.003848	0.000000
raeke	55	0.004071	0.000000
raeke	56	0.004448	0.000000
raeke	57	0.004509	0.000000
raeke	58	0.004567	0.000000
raeke	59	0.004566	0.000000
raeke	60	0.004409	0.000000
raeke	61	0.004397	0.000000
raeke	62	0.004484	0.000000
