#solver	iter	latency-throughput
		6. : 0.885592838404
semimcfksp	0	
		1. : 0.146124912465
		2. : 0.469153952518
		3. : 0.703855777427
		4. : 0.768077962963
		5. : 0.995141818725
		6. : 1.
		7. : 1.
semimcfksp	1	
		1. : 0.153608477582
		2. : 0.475393182586
		3. : 0.777911271028
		4. : 0.851019703857
		5. : 0.974975036518
		6. : 0.986858289124
		7. : 1.
semimcfksp	2	
		1. : 0.154993597892
		2. : 0.287029894376
		3. : 0.58437862942
		4. : 0.653719231505
		5. : 0.814668564222
		6. : 0.893755640535
		7. : 0.901466532049
		8. : 0.909119360672
		9. : 0.91231464263
		10. : 0.91231464263
semimcfksp	3	
		1. : 0.158964195505
		2. : 0.287835666223
		3. : 0.585622580168
		4. : 0.65736643606
		5. : 0.877813112908
		6. : 0.964686075589
		7. : 0.972141752667
		8. : 0.980898572645
		9. : 0.985413216445
		10. : 0.985413216445
semimcfksp	4	
		1. : 0.159881782462
		2. : 0.286001067724
		3. : 0.584222834586
		4. : 0.656277835496
		5. : 0.890867045908
		6. : 0.97880471694
		7. : 0.986376048772
		8. : 0.995379007912
		9. : 1.
		10. : 1.
semimcfksp	5	
		1. : 0.155773897709
		2. : 0.286435596143
		3. : 0.584081647001
		4. : 0.654786767466
		5. : 0.891364773646
		6. : 0.978697872179
		7. : 0.986264432314
		8. : 0.995302950364
		9. : 0.999951668226
		10. : 0.999951668226
semimcfksp	6	
		1. : 0.155835893702
		2. : 0.287416790545
		3. : 0.584126334599
		4. : 0.654232913794
		5. : 0.89249724264
		6. : 0.978918363224
		7. : 0.986459405766
		8. : 0.995400185679
		9. : 1.
		10. : 1.
semimcfksp	7	
		1. : 0.151404072132
		2. : 0.284234057018
		3. : 0.5837187214
		4. : 0.653195171225
		5. : 0.893576052478
		6. : 0.979903585308
		7. : 0.987467350472
		8. : 0.996360026577
		9. : 1.
		10. : 1.
semimcfksp	8	
		1. : 0.15034083971
		2. : 0.283875640473
		3. : 0.584209920628
		4. : 0.653675308393
		5. : 0.893103562287
		6. : 0.979323478899
		7. : 0.987101386622
		8. : 0.996375822795
		9. : 1.
		10. : 1.
semimcfksp	9	
		1. : 0.153540713117
		2. : 0.281040342886
		3. : 0.58154791321
		4. : 0.652326240862
		5. : 0.884651169234
		6. : 0.972838075802
